Class,Alcohol,Flavanoids,Color intensity,OD280/OD315 of diluted wines,Proline
2,11.84,2.21,3.05,3.08,520
2,12.67,1.94,2.62,3.16,450
2,12.16,1.69,2.45,2.26,495
2,11.65,1.61,2.6,3.21,562
2,11.64,1.69,2.8,2.75,680
2,12.08,1.59,1.74,3.21,625
2,12.08,1.5,2.4,2.27,480
2,12.0,1.25,3.6,2.65,450
2,12.69,1.46,3.05,2.06,495
2,12.29,2.25,2.15,3.3,290
2,11.62,2.26,3.25,2.96,345
2,12.47,2.27,2.6,2.63,937
2,11.81,0.99,2.5,2.26,625
2,12.29,2.5,2.9,2.74,428
2,12.37,3.75,4.5,2.77,660
2,12.29,2.99,2.3,2.83,406
2,12.08,2.17,3.3,2.96,710
2,12.6,1.36,2.45,2.77,562
2,12.34,2.11,2.8,3.38,438
2,11.82,1.64,2.06,2.44,415
2,12.51,1.92,2.94,3.57,672
2,12.42,1.84,2.7,3.3,315
2,12.25,2.03,3.4,3.17,510
2,12.72,1.76,3.3,2.42,488
2,12.22,2.04,2.7,3.02,312
2,11.61,2.92,2.65,3.26,680
2,11.46,2.58,2.9,2.81,562
2,12.52,2.27,2.0,2.78,325
2,11.76,2.03,3.8,2.5,607
2,11.41,2.01,3.08,2.31,434
2,12.08,2.29,2.9,3.19,385
2,11.03,2.17,1.9,2.87,407
2,11.82,1.6,1.95,3.33,495
2,12.42,2.09,2.06,2.96,345
2,12.77,1.25,3.4,2.12,372
2,12.0,1.64,1.28,3.05,564
2,11.45,2.79,3.25,3.39,625
2,11.56,5.08,6.0,3.69,465
2,12.42,2.13,2.08,3.12,365
2,13.05,2.65,2.6,3.1,380
2,11.87,3.03,2.8,3.64,380
2,12.07,2.65,2.76,3.28,378
2,12.43,3.15,3.94,2.84,352
2,11.79,2.24,3.0,2.44,466
2,12.37,2.45,2.12,2.78,342
2,12.04,1.75,2.6,2.57,580
3,12.86,1.25,4.1,1.29,630
3,12.88,1.22,5.4,1.42,530
3,12.81,1.09,5.7,1.36,560
3,12.7,1.2,5.0,1.29,600
3,12.51,0.58,5.45,1.51,650
3,12.6,0.66,7.1,1.58,695
3,12.25,0.47,3.85,1.27,720
3,12.53,0.6,5.0,1.69,515
3,13.49,0.48,5.7,1.82,580
3,12.84,0.6,4.92,2.15,590
3,12.93,0.5,4.6,2.31,600
3,13.36,0.5,5.6,2.47,780
3,13.52,0.52,4.35,2.06,520
3,13.62,0.8,4.4,2.05,550
3,12.25,0.78,8.21,2.0,855
3,13.16,0.55,4.0,1.68,830
3,13.88,0.34,4.9,1.33,415
3,12.87,0.65,7.65,1.86,625
3,13.32,0.76,8.42,1.62,650
3,13.08,1.39,9.4,1.33,550
3,13.5,1.57,8.6,1.3,500
3,12.79,1.36,10.8,1.47,480
3,13.11,1.28,7.1,1.33,425
3,13.23,0.83,10.52,1.51,675
3,12.58,0.58,7.6,1.55,640
3,13.17,0.63,7.9,1.48,725
3,13.84,0.83,9.01,1.64,480
3,12.45,0.58,7.5,1.73,880
3,14.34,1.31,13.0,1.96,660
3,13.48,1.1,11.75,1.78,620
3,12.36,0.92,7.65,1.58,520
3,13.69,0.56,5.88,1.82,680
3,12.85,0.6,5.58,2.11,570
3,12.96,0.7,5.28,1.75,675
3,13.78,0.68,9.58,1.68,615
3,13.73,0.47,6.62,1.75,520
3,13.45,0.92,10.68,1.56,695
3,12.82,0.66,10.26,1.75,685
3,13.58,0.84,8.66,1.8,750
3,13.4,0.96,8.5,1.92,630
3,12.2,0.49,5.5,1.83,510
3,12.77,0.51,9.899999,1.63,470
3,14.16,0.7,9.7,1.71,660
3,13.71,0.61,7.7,1.74,740
3,13.4,0.75,7.3,1.56,750
3,13.27,0.69,10.2,1.56,835
3,13.17,0.68,9.3,1.62,840
3,14.13,0.76,9.2,1.6,560
